Pred_velo,Prey_velo,PredN,PreyN,Speed,Prey_vis,Pred_vis,Encounter,Enc_sd
0.0001,1.0e-6,100,25,100.00000000000001,0.0,0.5,131.7,6.1472667819844045
0.0001,1.0e-6,100,50,100.00000000000001,0.0,0.5,218.2,15.36084488417078
0.0001,1.0e-6,100,75,100.00000000000001,0.0,0.5,293.7,16.50622778091819
0.0001,1.0e-6,100,100,100.00000000000001,0.0,0.5,353.1,10.32203683603408
0.0001,1.0e-6,100,200,100.00000000000001,0.0,0.5,491.0,10.1762250149825
0.0001,1.0e-6,100,300,100.00000000000001,0.0,0.5,578.4,14.151560573543353
0.0001,1.0e-6,100,400,100.00000000000001,0.0,0.5,625.7,18.147849581822204
0.0001,1.0e-6,100,500,100.00000000000001,0.0,0.5,675.5,22.78035215804278
0.0001,1.0e-6,100,600,100.00000000000001,0.0,0.5,701.7,14.682188755995021
0.0001,1.0e-6,100,700,100.00000000000001,0.0,0.5,739.4,16.594510471170214
0.0001,1.0e-6,100,800,100.00000000000001,0.0,0.5,744.1,15.343836982102403
0.0001,1.0e-6,100,900,100.00000000000001,0.0,0.5,771.5,16.886878535320456
0.0001,1.0e-6,100,25,100.00000000000001,0.0001,0.5,125.0,7.52772652709081
0.0001,1.0e-6,100,50,100.00000000000001,0.0001,0.5,216.6,12.833982667555349
0.0001,1.0e-6,100,75,100.00000000000001,0.0001,0.5,288.6,15.791699648162567
0.0001,1.0e-6,100,100,100.00000000000001,0.0001,0.5,345.2,16.804761230080004
0.0001,1.0e-6,100,200,100.00000000000001,0.0001,0.5,487.2,16.691980775876246
0.0001,1.0e-6,100,300,100.00000000000001,0.0001,0.5,569.2,20.746083967823903
0.0001,1.0e-6,100,400,100.00000000000001,0.0001,0.5,624.4,16.84042754801671
0.0001,1.0e-6,100,500,100.00000000000001,0.0001,0.5,669.6,27.52453451014204
0.0001,1.0e-6,100,600,100.00000000000001,0.0001,0.5,698.7,16.533131719200824
0.0001,1.0e-6,100,700,100.00000000000001,0.0001,0.5,732.6,14.19076381939245
0.0001,1.0e-6,100,800,100.00000000000001,0.0001,0.5,756.2,16.382917933017914
0.0001,1.0e-6,100,900,100.00000000000001,0.0001,0.5,764.7,12.293177873203584
0.0001,1.0e-6,100,25,100.00000000000001,0.001,0.5,124.5,5.104464277037851
0.0001,1.0e-6,100,50,100.00000000000001,0.001,0.5,219.4,14.017449443065201
0.0001,1.0e-6,100,75,100.00000000000001,0.001,0.5,287.9,16.53581970551606
0.0001,1.0e-6,100,100,100.00000000000001,0.001,0.5,344.2,12.585706178041818
0.0001,1.0e-6,100,200,100.00000000000001,0.001,0.5,491.9,17.381024135533558
0.0001,1.0e-6,100,300,100.00000000000001,0.001,0.5,570.5,11.881357947081076
0.0001,1.0e-6,100,400,100.00000000000001,0.001,0.5,629.7,18.52355857340112
0.0001,1.0e-6,100,500,100.00000000000001,0.001,0.5,666.5,21.839057773732925
0.0001,1.0e-6,100,600,100.00000000000001,0.001,0.5,696.7,12.702143301208833
0.0001,1.0e-6,100,700,100.00000000000001,0.001,0.5,720.2,16.067911431725584
0.0001,1.0e-6,100,800,100.00000000000001,0.001,0.5,746.8,15.583467022599445
0.0001,1.0e-6,100,900,100.00000000000001,0.001,0.5,760.2,13.669105473455256
0.0001,1.0e-6,100,25,100.00000000000001,0.025,0.5,126.5,9.935905707192587
0.0001,1.0e-6,100,50,100.00000000000001,0.025,0.5,217.8,13.472605951007068
0.0001,1.0e-6,100,75,100.00000000000001,0.025,0.5,286.2,14.634813896246778
0.0001,1.0e-6,100,100,100.00000000000001,0.025,0.5,349.1,13.36205240389531
0.0001,1.0e-6,100,200,100.00000000000001,0.025,0.5,488.9,21.0684071011023
0.0001,1.0e-6,100,300,100.00000000000001,0.025,0.5,568.5,13.226656586017665
0.0001,1.0e-6,100,400,100.00000000000001,0.025,0.5,624.3,24.28099393901878
0.0001,1.0e-6,100,500,100.00000000000001,0.025,0.5,660.4,14.182931839205727
0.0001,1.0e-6,100,600,100.00000000000001,0.025,0.5,687.0,15.376750126227728
0.0001,1.0e-6,100,700,100.00000000000001,0.025,0.5,725.8,9.647106647418521
0.0001,1.0e-6,100,800,100.00000000000001,0.025,0.5,742.1,24.8705537623199
0.0001,1.0e-6,100,900,100.00000000000001,0.025,0.5,756.1,8.04777401935881
0.0001,1.0e-6,100,25,100.00000000000001,0.05,0.5,127.3,6.429964575675705
0.0001,1.0e-6,100,50,100.00000000000001,0.05,0.5,215.2,9.784341231443909
0.0001,1.0e-6,100,75,100.00000000000001,0.05,0.5,288.7,9.54579604968712
0.0001,1.0e-6,100,100,100.00000000000001,0.05,0.5,344.8,14.838388651662207
0.0001,1.0e-6,100,200,100.00000000000001,0.05,0.5,484.3,15.129441496631657
0.0001,1.0e-6,100,300,100.00000000000001,0.05,0.5,576.2,27.24293996208518
0.0001,1.0e-6,100,400,100.00000000000001,0.05,0.5,625.0,15.804359454839597
0.0001,1.0e-6,100,500,100.00000000000001,0.05,0.5,657.7,17.340062796246666
0.0001,1.0e-6,100,600,100.00000000000001,0.05,0.5,688.5,16.80773631397161
0.0001,1.0e-6,100,700,100.00000000000001,0.05,0.5,723.3,19.83851472935075
0.0001,1.0e-6,100,800,100.00000000000001,0.05,0.5,747.8,21.353115827802636
0.0001,1.0e-6,100,900,100.00000000000001,0.05,0.5,754.2,15.490498880137965
0.0001,1.0e-6,100,25,100.00000000000001,0.075,0.5,126.5,8.631338250816034
0.0001,1.0e-6,100,50,100.00000000000001,0.075,0.5,215.6,12.816655830077776
0.0001,1.0e-6,100,75,100.00000000000001,0.075,0.5,285.3,10.883728936148474
0.0001,1.0e-6,100,100,100.00000000000001,0.075,0.5,344.7,17.486820433940785
0.0001,1.0e-6,100,200,100.00000000000001,0.075,0.5,493.6,19.794499797222013
0.0001,1.0e-6,100,300,100.00000000000001,0.075,0.5,568.8,16.12313727397852
0.0001,1.0e-6,100,400,100.00000000000001,0.075,0.5,619.4,10.276186062932103
0.0001,1.0e-6,100,500,100.00000000000001,0.075,0.5,661.8,16.578433111860853
0.0001,1.0e-6,100,600,100.00000000000001,0.075,0.5,693.4,16.833828375559072
0.0001,1.0e-6,100,700,100.00000000000001,0.075,0.5,723.5,18.130698337963217
0.0001,1.0e-6,100,800,100.00000000000001,0.075,0.5,741.9,12.34188892439979
0.0001,1.0e-6,100,900,100.00000000000001,0.075,0.5,763.0,20.493901531919196
0.0001,1.0e-6,100,25,100.00000000000001,0.1,0.5,131.5,8.209073570683167
0.0001,1.0e-6,100,50,100.00000000000001,0.1,0.5,227.4,8.934328302800509
0.0001,1.0e-6,100,75,100.00000000000001,0.1,0.5,286.3,14.560601330683808
0.0001,1.0e-6,100,100,100.00000000000001,0.1,0.5,348.8,8.638415492567036
0.0001,1.0e-6,100,200,100.00000000000001,0.1,0.5,490.9,17.797939955698993
0.0001,1.0e-6,100,300,100.00000000000001,0.1,0.5,564.9,16.68965081852956
0.0001,1.0e-6,100,400,100.00000000000001,0.1,0.5,633.5,12.563173696695168
0.0001,1.0e-6,100,500,100.00000000000001,0.1,0.5,653.1,12.386820953470398
0.0001,1.0e-6,100,600,100.00000000000001,0.1,0.5,694.3,14.659467930317252
0.0001,1.0e-6,100,700,100.00000000000001,0.1,0.5,714.0,21.155508870163242
0.0001,1.0e-6,100,800,100.00000000000001,0.1,0.5,745.1,11.713714658941932
0.0001,1.0e-6,100,900,100.00000000000001,0.1,0.5,758.4,10.595596569644705
0.0001,1.0e-6,100,25,100.00000000000001,0.2,0.5,128.7,4.64399253516483
0.0001,1.0e-6,100,50,100.00000000000001,0.2,0.5,222.3,14.591093173576818
0.0001,1.0e-6,100,75,100.00000000000001,0.2,0.5,288.3,10.708771067577166
0.0001,1.0e-6,100,100,100.00000000000001,0.2,0.5,348.0,10.077477638553983
0.0001,1.0e-6,100,200,100.00000000000001,0.2,0.5,491.8,14.830898676599324
0.0001,1.0e-6,100,300,100.00000000000001,0.2,0.5,572.6,10.21110506589109
0.0001,1.0e-6,100,400,100.00000000000001,0.2,0.5,620.8,15.164285527368426
0.0001,1.0e-6,100,500,100.00000000000001,0.2,0.5,661.8,13.079245645933357
0.0001,1.0e-6,100,600,100.00000000000001,0.2,0.5,696.5,13.10004240875239
0.0001,1.0e-6,100,700,100.00000000000001,0.2,0.5,712.6,17.87114371767453
0.0001,1.0e-6,100,800,100.00000000000001,0.2,0.5,743.2,11.745448290957459
0.0001,1.0e-6,100,900,100.00000000000001,0.2,0.5,765.4,16.8206222635589
0.0001,1.0e-6,100,25,100.00000000000001,0.4,0.5,131.9,9.893319856235205
0.0001,1.0e-6,100,50,100.00000000000001,0.4,0.5,218.7,10.914312723310719
0.0001,1.0e-6,100,75,100.00000000000001,0.4,0.5,293.7,14.772722610721875
0.0001,1.0e-6,100,100,100.00000000000001,0.4,0.5,338.0,17.333333333333332
0.0001,1.0e-6,100,200,100.00000000000001,0.4,0.5,486.1,15.919589609450783
0.0001,1.0e-6,100,300,100.00000000000001,0.4,0.5,574.2,14.838388651662207
0.0001,1.0e-6,100,400,100.00000000000001,0.4,0.5,617.5,12.385026802106198
0.0001,1.0e-6,100,500,100.00000000000001,0.4,0.5,663.9,14.082692293102985
0.0001,1.0e-6,100,600,100.00000000000001,0.4,0.5,691.1,18.603763060198332
0.0001,1.0e-6,100,700,100.00000000000001,0.4,0.5,714.5,12.95505049520585
0.0001,1.0e-6,100,800,100.00000000000001,0.4,0.5,738.9,27.83463070828616
0.0001,1.0e-6,100,900,100.00000000000001,0.4,0.5,773.4,15.7987341265052
0.0001,1.0e-6,100,25,100.00000000000001,0.6,0.5,127.9,6.488451279003334
0.0001,1.0e-6,100,50,100.00000000000001,0.6,0.5,220.9,6.332456079595025
0.0001,1.0e-6,100,75,100.00000000000001,0.6,0.5,287.8,12.327025413925114
0.0001,1.0e-6,100,100,100.00000000000001,0.6,0.5,341.5,14.439529078193651
0.0001,1.0e-6,100,200,100.00000000000001,0.6,0.5,488.7,14.468740250776653
0.0001,1.0e-6,100,300,100.00000000000001,0.6,0.5,572.5,16.728219670166137
0.0001,1.0e-6,100,400,100.00000000000001,0.6,0.5,633.9,19.4390786247131
0.0001,1.0e-6,100,500,100.00000000000001,0.6,0.5,663.0,14.636332266733433
0.0001,1.0e-6,100,600,100.00000000000001,0.6,0.5,691.7,11.757267256183864
0.0001,1.0e-6,100,700,100.00000000000001,0.6,0.5,717.3,13.760248705762713
0.0001,1.0e-6,100,800,100.00000000000001,0.6,0.5,745.5,12.149531312405063
0.0001,1.0e-6,100,900,100.00000000000001,0.6,0.5,763.5,14.230249470757707
0.0001,1.0e-6,100,25,100.00000000000001,0.8,0.5,129.4,9.09456492148531
0.0001,1.0e-6,100,50,100.00000000000001,0.8,0.5,223.7,7.746683878351506
0.0001,1.0e-6,100,75,100.00000000000001,0.8,0.5,285.3,14.989255411052872
0.0001,1.0e-6,100,100,100.00000000000001,0.8,0.5,343.3,12.481541927537995
0.0001,1.0e-6,100,200,100.00000000000001,0.8,0.5,487.4,27.34633836955548
0.0001,1.0e-6,100,300,100.00000000000001,0.8,0.5,561.3,18.59539967004982
0.0001,1.0e-6,100,400,100.00000000000001,0.8,0.5,626.4,18.04438970982394
0.0001,1.0e-6,100,500,100.00000000000001,0.8,0.5,660.6,20.012218489934813
0.0001,1.0e-6,100,600,100.00000000000001,0.8,0.5,701.9,18.988007911427793
0.0001,1.0e-6,100,700,100.00000000000001,0.8,0.5,712.6,12.677188612271694
0.0001,1.0e-6,100,800,100.00000000000001,0.8,0.5,737.3,16.200480102625217
0.0001,1.0e-6,100,900,100.00000000000001,0.8,0.5,758.2,13.31498737847276
0.0001,1.0e-6,100,25,100.00000000000001,1.0,0.5,127.8,10.195859726161181
0.0001,1.0e-6,100,50,100.00000000000001,1.0,0.5,220.4,9.240009620004614
0.0001,1.0e-6,100,75,100.00000000000001,1.0,0.5,288.6,14.229859060752812
0.0001,1.0e-6,100,100,100.00000000000001,1.0,0.5,343.8,18.772320048411704
0.0001,1.0e-6,100,200,100.00000000000001,1.0,0.5,498.2,19.303425142244116
0.0001,1.0e-6,100,300,100.00000000000001,1.0,0.5,565.5,19.500712237705006
0.0001,1.0e-6,100,400,100.00000000000001,1.0,0.5,623.2,13.579396157414363
0.0001,1.0e-6,100,500,100.00000000000001,1.0,0.5,665.1,21.512012148254907
0.0001,1.0e-6,100,600,100.00000000000001,1.0,0.5,695.9,23.750789460563198
0.0001,1.0e-6,100,700,100.00000000000001,1.0,0.5,720.2,13.045220495559965
0.0001,1.0e-6,100,800,100.00000000000001,1.0,0.5,739.5,14.630637564903163
0.0001,1.0e-6,100,900,100.00000000000001,1.0,0.5,763.8,20.83693302234707
0.0001,1.0e-5,100,25,10.0,0.0,0.5,129.0,9.428090415820634
0.0001,1.0e-5,100,50,10.0,0.0,0.5,223.5,12.791055902899929
0.0001,1.0e-5,100,75,10.0,0.0,0.5,286.9,21.906112794783507
0.0001,1.0e-5,100,100,10.0,0.0,0.5,343.3,11.155965021259057
0.0001,1.0e-5,100,200,10.0,0.0,0.5,492.5,7.6194196337749736
0.0001,1.0e-5,100,300,10.0,0.0,0.5,561.2,20.90613944913471
0.0001,1.0e-5,100,400,10.0,0.0,0.5,633.1,15.538125155028625
0.0001,1.0e-5,100,500,10.0,0.0,0.5,662.4,21.240422678363903
0.0001,1.0e-5,100,600,10.0,0.0,0.5,706.4,12.8079836213373
0.0001,1.0e-5,100,700,10.0,0.0,0.5,723.7,9.06825966397816
0.0001,1.0e-5,100,800,10.0,0.0,0.5,744.6,12.88582339023954
0.0001,1.0e-5,100,900,10.0,0.0,0.5,775.7,17.85777141750896
0.0001,1.0e-5,100,25,10.0,0.0001,0.5,122.2,12.942608358098113
0.0001,1.0e-5,100,50,10.0,0.0001,0.5,212.3,10.499206319209721
0.0001,1.0e-5,100,75,10.0,0.0001,0.5,268.2,11.350966674448676
0.0001,1.0e-5,100,100,10.0,0.0001,0.5,325.9,10.354279845122553
0.0001,1.0e-5,100,200,10.0,0.0001,0.5,460.6,13.175735273600486
0.0001,1.0e-5,100,300,10.0,0.0001,0.5,535.2,9.040648944259107
0.0001,1.0e-5,100,400,10.0,0.0001,0.5,578.4,12.001851708984095
0.0001,1.0e-5,100,500,10.0,0.0001,0.5,620.1,15.161720805297062
0.0001,1.0e-5,100,600,10.0,0.0001,0.5,650.1,11.23931591433492
0.0001,1.0e-5,100,700,10.0,0.0001,0.5,662.0,14.824903971958056
0.0001,1.0e-5,100,800,10.0,0.0001,0.5,682.2,15.13494851879803
0.0001,1.0e-5,100,900,10.0,0.0001,0.5,700.5,14.191155304938668
0.0001,1.0e-5,100,25,10.0,0.001,0.5,125.4,5.680375574437545
0.0001,1.0e-5,100,50,10.0,0.001,0.5,196.4,9.92415683516181
0.0001,1.0e-5,100,75,10.0,0.001,0.5,268.8,12.053584068188552
0.0001,1.0e-5,100,100,10.0,0.001,0.5,322.4,13.116571367718183
0.0001,1.0e-5,100,200,10.0,0.001,0.5,444.1,11.37687713449228
0.0001,1.0e-5,100,300,10.0,0.001,0.5,515.6,11.663809173869591
0.0001,1.0e-5,100,400,10.0,0.001,0.5,565.5,17.0961334160031
0.0001,1.0e-5,100,500,10.0,0.001,0.5,588.7,15.018877010837615
0.0001,1.0e-5,100,600,10.0,0.001,0.5,617.2,14.57394936178934
0.0001,1.0e-5,100,700,10.0,0.001,0.5,646.0,15.91644851508443
0.0001,1.0e-5,100,800,10.0,0.001,0.5,660.3,20.111080417410584
0.0001,1.0e-5,100,900,10.0,0.001,0.5,682.7,14.47641760473449
0.0001,1.0e-5,100,25,10.0,0.025,0.5,118.7,7.660142151277467
0.0001,1.0e-5,100,50,10.0,0.025,0.5,196.4,15.26215362697327
0.0001,1.0e-5,100,75,10.0,0.025,0.5,261.7,12.875903420299831
0.0001,1.0e-5,100,100,10.0,0.025,0.5,301.7,16.1730228054828
0.0001,1.0e-5,100,200,10.0,0.025,0.5,428.6,13.882042757141729
0.0001,1.0e-5,100,300,10.0,0.025,0.5,493.3,13.92080776711211
0.0001,1.0e-5,100,400,10.0,0.025,0.5,538.4,11.256603000510905
0.0001,1.0e-5,100,500,10.0,0.025,0.5,577.8,22.9482509621588
0.0001,1.0e-5,100,600,10.0,0.025,0.5,597.5,14.698828373566226
0.0001,1.0e-5,100,700,10.0,0.025,0.5,633.2,14.755789824110849
0.0001,1.0e-5,100,800,10.0,0.025,0.5,645.8,15.9150522741488
0.0001,1.0e-5,100,900,10.0,0.025,0.5,659.0,17.016332024133625
0.0001,1.0e-5,100,25,10.0,0.05,0.5,116.4,5.796550698475775
0.0001,1.0e-5,100,50,10.0,0.05,0.5,196.2,8.791409948858538
0.0001,1.0e-5,100,75,10.0,0.05,0.5,264.9,7.9784431786881544
0.0001,1.0e-5,100,100,10.0,0.05,0.5,312.4,14.75127113166862
0.0001,1.0e-5,100,200,10.0,0.05,0.5,429.0,10.96458946893235
0.0001,1.0e-5,100,300,10.0,0.05,0.5,497.7,16.41171668182352
0.0001,1.0e-5,100,400,10.0,0.05,0.5,542.1,13.519122259476266
0.0001,1.0e-5,100,500,10.0,0.05,0.5,573.7,19.499572644889767
0.0001,1.0e-5,100,600,10.0,0.05,0.5,607.3,16.91186302898386
0.0001,1.0e-5,100,700,10.0,0.05,0.5,615.4,10.330107023216705
0.0001,1.0e-5,100,800,10.0,0.05,0.5,643.9,9.585289655392671
0.0001,1.0e-5,100,900,10.0,0.05,0.5,661.1,11.308305698811726
0.0001,1.0e-5,100,25,10.0,0.075,0.5,115.0,8.717797887081348
0.0001,1.0e-5,100,50,10.0,0.075,0.5,199.1,11.27879032126722
0.0001,1.0e-5,100,75,10.0,0.075,0.5,259.3,20.623880440994718
0.0001,1.0e-5,100,100,10.0,0.075,0.5,307.2,12.035133752661183
0.0001,1.0e-5,100,200,10.0,0.075,0.5,422.7,8.982080926922102
0.0001,1.0e-5,100,300,10.0,0.075,0.5,494.3,23.814328086725904
0.0001,1.0e-5,100,400,10.0,0.075,0.5,546.2,17.592927872048786
0.0001,1.0e-5,100,500,10.0,0.075,0.5,575.6,12.65086733961132
0.0001,1.0e-5,100,600,10.0,0.075,0.5,596.4,17.702479424582812
0.0001,1.0e-5,100,700,10.0,0.075,0.5,619.2,17.177504669382763
0.0001,1.0e-5,100,800,10.0,0.075,0.5,636.8,21.075525563500847
0.0001,1.0e-5,100,900,10.0,0.075,0.5,652.8,17.402426395317534
0.0001,1.0e-5,100,25,10.0,0.1,0.5,114.4,8.1948493308636
0.0001,1.0e-5,100,50,10.0,0.1,0.5,198.3,15.649281133649557
0.0001,1.0e-5,100,75,10.0,0.1,0.5,265.9,10.805862606320083
0.0001,1.0e-5,100,100,10.0,0.1,0.5,308.2,8.866917289691058
0.0001,1.0e-5,100,200,10.0,0.1,0.5,431.9,14.753154088382441
0.0001,1.0e-5,100,300,10.0,0.1,0.5,491.9,12.368867728651999
0.0001,1.0e-5,100,400,10.0,0.1,0.5,540.3,10.022751895340697
0.0001,1.0e-5,100,500,10.0,0.1,0.5,570.9,11.541711792932238
0.0001,1.0e-5,100,600,10.0,0.1,0.5,599.6,20.02886805477423
0.0001,1.0e-5,100,700,10.0,0.1,0.5,625.3,14.368561359981573
0.0001,1.0e-5,100,800,10.0,0.1,0.5,646.5,16.55462338911869
0.0001,1.0e-5,100,900,10.0,0.1,0.5,657.6,15.861904047118683
0.0001,1.0e-5,100,25,10.0,0.2,0.5,116.5,4.222953153106642
0.0001,1.0e-5,100,50,10.0,0.2,0.5,200.5,8.605553762283725
0.0001,1.0e-5,100,75,10.0,0.2,0.5,261.7,11.185804495977132
0.0001,1.0e-5,100,100,10.0,0.2,0.5,303.2,10.053191864610298
0.0001,1.0e-5,100,200,10.0,0.2,0.5,420.7,17.52490291619963
0.0001,1.0e-5,100,300,10.0,0.2,0.5,509.5,11.95593762297397
0.0001,1.0e-5,100,400,10.0,0.2,0.5,541.8,16.314955647435198
0.0001,1.0e-5,100,500,10.0,0.2,0.5,579.4,17.1412433102801
0.0001,1.0e-5,100,600,10.0,0.2,0.5,602.3,17.22433678774825
0.0001,1.0e-5,100,700,10.0,0.2,0.5,627.7,15.944696087832257
0.0001,1.0e-5,100,800,10.0,0.2,0.5,640.4,18.9103146457165
0.0001,1.0e-5,100,900,10.0,0.2,0.5,659.4,13.929983648391138
0.0001,1.0e-5,100,25,10.0,0.4,0.5,118.5,8.276472678623424
0.0001,1.0e-5,100,50,10.0,0.4,0.5,192.7,11.576316819745006
0.0001,1.0e-5,100,75,10.0,0.4,0.5,252.2,14.92797522922799
0.0001,1.0e-5,100,100,10.0,0.4,0.5,313.1,15.220235068997965
0.0001,1.0e-5,100,200,10.0,0.4,0.5,431.7,21.05046845612283
0.0001,1.0e-5,100,300,10.0,0.4,0.5,492.5,15.436248824691113
0.0001,1.0e-5,100,400,10.0,0.4,0.5,548.3,14.166078419159543
0.0001,1.0e-5,100,500,10.0,0.4,0.5,574.9,18.85883229565276
0.0001,1.0e-5,100,600,10.0,0.4,0.5,599.0,14.52966314513558
0.0001,1.0e-5,100,700,10.0,0.4,0.5,620.0,18.991226044325487
0.0001,1.0e-5,100,800,10.0,0.4,0.5,652.4,18.536450577173618
0.0001,1.0e-5,100,900,10.0,0.4,0.5,667.4,16.513967152417106
0.0001,1.0e-5,100,25,10.0,0.6,0.5,112.7,8.407007658957959
0.0001,1.0e-5,100,50,10.0,0.6,0.5,196.0,7.788880963698615
0.0001,1.0e-5,100,75,10.0,0.6,0.5,259.1,11.704225257952313
0.0001,1.0e-5,100,100,10.0,0.6,0.5,304.1,6.026792034094275
0.0001,1.0e-5,100,200,10.0,0.6,0.5,436.7,13.383655039719986
0.0001,1.0e-5,100,300,10.0,0.6,0.5,504.8,17.599242407937147
0.0001,1.0e-5,100,400,10.0,0.6,0.5,543.6,24.17620501420537
0.0001,1.0e-5,100,500,10.0,0.6,0.5,584.0,18.743887892679396
0.0001,1.0e-5,100,600,10.0,0.6,0.5,609.9,8.46496045800307
0.0001,1.0e-5,100,700,10.0,0.6,0.5,630.8,11.811482172492624
0.0001,1.0e-5,100,800,10.0,0.6,0.5,647.3,13.266917920568856
0.0001,1.0e-5,100,900,10.0,0.6,0.5,662.3,14.047933814068331
0.0001,1.0e-5,100,25,10.0,0.8,0.5,111.7,10.99545360592277
0.0001,1.0e-5,100,50,10.0,0.8,0.5,197.1,9.314862675674112
0.0001,1.0e-5,100,75,10.0,0.8,0.5,261.5,14.683702227677838
0.0001,1.0e-5,100,100,10.0,0.8,0.5,310.2,15.873107936240956
0.0001,1.0e-5,100,200,10.0,0.8,0.5,442.5,20.876621693495654
0.0001,1.0e-5,100,300,10.0,0.8,0.5,487.6,24.414021472187752
0.0001,1.0e-5,100,400,10.0,0.8,0.5,538.2,13.364962484878967
0.0001,1.0e-5,100,500,10.0,0.8,0.5,580.4,13.091133555875816
0.0001,1.0e-5,100,600,10.0,0.8,0.5,610.8,12.523755205386458
0.0001,1.0e-5,100,700,10.0,0.8,0.5,633.8,12.523755205386458
0.0001,1.0e-5,100,800,10.0,0.8,0.5,639.0,12.788884062167252
0.0001,1.0e-5,100,900,10.0,0.8,0.5,655.7,14.63671183474394
0.0001,1.0e-5,100,25,10.0,1.0,0.5,118.2,11.554700823089757
0.0001,1.0e-5,100,50,10.0,1.0,0.5,199.9,12.511772234357707
0.0001,1.0e-5,100,75,10.0,1.0,0.5,257.2,13.273197722394471
0.0001,1.0e-5,100,100,10.0,1.0,0.5,308.8,12.994015716646045
0.0001,1.0e-5,100,200,10.0,1.0,0.5,435.9,9.75761810643925
